Record Length,Analog:100000
Sample Interval,5.000000E-05
Vertical Units,V,
Vertical Scale,+1.000000E-02
Vertical Offset,-1.000000E-03
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0Q808383
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-2.4924000000E+00,-1.729167E-03
-2.4923500000E+00,-2.666667E-03
-2.4923000000E+00,+1.791667E-03
-2.4922500000E+00,+1.500000E-03
-2.4922000000E+00,-1.916667E-03
-2.4921500000E+00,+1.395833E-03
-2.4921000000E+00,-1.729167E-03
-2.4920500000E+00,+1.687500E-03
-2.4920000000E+00,-2.250000E-03
-2.4919500000E+00,+2.270833E-03
-2.4919000000E+00,-1.791667E-03
-2.4918500000E+00,+1.645833E-03
-2.4918000000E+00,-1.708333E-03
-2.4917500000E+00,-1.541667E-03
-2.4917000000E+00,+1.625000E-03
-2.4916500000E+00,-1.666667E-03
-2.4916000000E+00,+1.375000E-03
-2.4915500000E+00,+1.270833E-03
-2.4915000000E+00,-1.750000E-03
-2.4914500000E+00,+1.437500E-03
-2.4914000000E+00,-2.000000E-03
-2.4913500000E+00,-1.729167E-03
-2.4913000000E+00,+1.166667E-03
-2.4912500000E+00,+1.666667E-03
-2.4912000000E+00,-1.625000E-03
-2.4911500000E+00,-1.770833E-03
-2.4911000000E+00,+1.395833E-03
-2.4910500000E+00,-2.250000E-03
-2.4910000000E+00,+1.291667E-03
-2.4909500000E+00,+1.541667E-03
-2.4909000000E+00,-1.583333E-03
-2.4908500000E+00,-1.791667E-03
-2.4908000000E+00,+1.187500E-03
-2.4907500000E+00,+1.250000E-03
-2.4907000000E+00,-1.625000E-03
-2.4906500000E+00,+1.395833E-03
-2.4906000000E+00,-1.562500E-03
-2.4905500000E+00,-1.541667E-03
-2.4905000000E+00,+1.187500E-03
-2.4904500000E+00,+1.458333E-03
-2.4904000000E+00,-2.000000E-03
-2.4903500000E+00,-1.562500E-03
-2.4903000000E+00,+1.229167E-03
-2.4902500000E+00,+1.354167E-03
-2.4902000000E+00,-1.895833E-03
-2.4901500000E+00,-1.750000E-03
-2.4901000000E+00,+1.437500E-03
-2.4900500000E+00,+1.166667E-03
-2.4900000000E+00,-1.708333E-03
-2.4899500000E+00,-1.562500E-03
-2.4899000000E+00,+1.208333E-03
-2.4898500000E+00,+1.312500E-03
-2.4898000000E+00,-1.666667E-03
-2.4897500000E+00,+1.270833E-03
-2.4897000000E+00,-1.604167E-03
-2.4896500000E+00,+1.333333E-03
-2.4896000000E+00,-1.583333E-03
-2.4895500000E+00,-1.479167E-03
-2.4895000000E+00,+1.125000E-03
-2.4894500000E+00,+1.187500E-03
-2.4894000000E+00,-1.541667E-03
-2.4893500000E+00,+1.125000E-03
-2.4893000000E+00,-1.520833E-03
-2.4892500000E+00,-1.479167E-03
-2.4892000000E+00,+1.166667E-03
-2.4891500000E+00,+1.020833E-03
-2.4891000000E+00,-1.520833E-03
-2.4890500000E+00,-1.250000E-03
-2.4890000000E+00,+1.312500E-03
-2.4889500000E+00,+1.333333E-03
-2.4889000000E+00,-1.562500E-03
-2.4888500000E+00,-1.208333E-03
-2.4888000000E+00,+1.041667E-03
-2.4887500000E+00,-1.333333E-03
-2.4887000000E+00,+1.187500E-03
-2.4886500000E+00,+1.062500E-03
-2.4886000000E+00,-1.270833E-03
-2.4885500000E+00,-1.062500E-03
-2.4885000000E+00,+8.750000E-04
-2.4884500000E+00,-1.208333E-03
-2.4884000000E+00,+8.750000E-04
-2.4883500000E+00,+8.750000E-04
-2.4883000000E+00,-1.125000E-03
-2.4882500000E+00,-9.999999E-04
-2.4882000000E+00,+8.958334E-04
-2.4881500000E+00,-1.083333E-03
-2.4881000000E+00,+7.916667E-04
-2.4880500000E+00,-1.229167E-03
-2.4880000000E+00,+1.020833E-03
-2.4879500000E+00,-1.229167E-03
-2.4879000000E+00,+1.208333E-03
-2.4878500000E+00,-1.416667E-03
-2.4878000000E+00,+1.125000E-03
-2.4877500000E+00,-1.333333E-03
-2.4877000000E+00,+1.020833E-03
-2.4876500000E+00,-1.500000E-03
-2.4876000000E+00,+1.145833E-03
-2.4875500000E+00,+1.020833E-03
-2.4875000000E+00,-1.541667E-03
-2.4874500000E+00,-1.395833E-03
-2.4874000000E+00,+1.208333E-03
-2.4873500000E+00,-1.416667E-03
-2.4873000000E+00,+1.125000E-03
-2.4872500000E+00,+1.187500E-03
-2.4872000000E+00,-1.541667E-03
-2.4871500000E+00,+1.166667E-03
-2.4871000000E+00,-1.437500E-03
-2.4870500000E+00,-1.458333E-03
-2.4870000000E+00,+1.604167E-03
-2.4869500000E+00,+1.312500E-03
-2.4869000000E+00,-1.791667E-03
-2.4868500000E+00,+1.416667E-03
-2.4868000000E+00,-1.458333E-03
-2.4867500000E+00,+1.166667E-03
-2.4867000000E+00,-1.458333E-03
-2.4866500000E+00,+1.354167E-03
-2.4866000000E+00,-1.916667E-03
-2.4865500000E+00,-1.500000E-03
-2.4865000000E+00,+1.229167E-03
-2.4864500000E+00,-1.729167E-03
-2.4864000000E+00,+1.458333E-03
-2.4863500000E+00,-1.687500E-03
-2.4863000000E+00,+1.291667E-03
-2.4862500000E+00,+1.187500E-03
-2.4862000000E+00,-1.666667E-03
-2.4861500000E+00,+1.479167E-03
-2.4861000000E+00,-1.812500E-03
-2.4860500000E+00,-2.083333E-03
-2.4860000000E+00,+1.604167E-03
-2.4859500000E+00,-1.750000E-03
-2.4859000000E+00,+1.145833E-03
-2.4858500000E+00,-1.583333E-03
-2.4858000000E+00,+1.437500E-03
-2.4857500000E+00,+1.416667E-03
-2.4857000000E+00,-1.875000E-03
-2.4856500000E+00,-1.604167E-03
-2.4856000000E+00,+1.375000E-03
-2.4855500000E+00,+1.583333E-03
-2.4855000000E+00,-1.750000E-03
-2.4854500000E+00,+1.375000E-03
-2.4854000000E+00,-1.812500E-03
-2.4853500000E+00,-1.729167E-03
-2.4853000000E+00,+1.833333E-03
-2.4852500000E+00,+1.562500E-03
-2.4852000000E+00,-1.833333E-03
-2.4851500000E+00,+1.354167E-03
-2.4851000000E+00,-1.770833E-03
-2.4850500000E+00,-2.000000E-03
-2.4850000000E+00,+1.500000E-03
-2.4849500000E+00,+1.583333E-03
-2.4849000000E+00,-2.041667E-03
-2.4848500000E+00,-1.625000E-03
-2.4848000000E+00,+1.979167E-03
-2.4847500000E+00,+1.187500E-03
-2.4847000000E+00,-1.541667E-03
-2.4846500000E+00,+1.416667E-03
-2.4846000000E+00,-1.708333E-03
-2.4845500000E+00,-1.541667E-03
-2.4845000000E+00,+1.625000E-03
-2.4844500000E+00,+1.520833E-03
-2.4844000000E+00,-1.979167E-03
-2.4843500000E+00,+1.354167E-03
-2.4843000000E+00,-1.916667E-03
-2.4842500000E+00,-1.562500E-03
-2.4842000000E+00,+1.666667E-03
-2.4841500000E+00,-1.541667E-03
-2.4841000000E+00,+1.541667E-03
-2.4840500000E+00,-1.687500E-03
-2.4840000000E+00,+1.666667E-03
-2.4839500000E+00,-2.312500E-03
-2.4839000000E+00,+1.708333E-03
-2.4838500000E+00,+1.375000E-03
-2.4838000000E+00,-1.604167E-03
-2.4837500000E+00,+1.645833E-03
-2.4837000000E+00,-1.645833E-03
-2.4836500000E+00,-1.979167E-03
-2.4836000000E+00,+1.750000E-03
-2.4835500000E+00,-1.645833E-03
-2.4835000000E+00,+1.604167E-03
-2.4834500000E+00,+1.395833E-03
-2.4834000000E+00,-1.708333E-03
-2.4833500000E+00,+1.500000E-03
-2.4833000000E+00,-1.791667E-03
-2.4832500000E+00,-1.583333E-03
-2.4832000000E+00,+1.625000E-03
-2.4831500000E+00,+1.604167E-03
-2.4831000000E+00,-1.583333E-03
-2.4830500000E+00,-1.583333E-03
-2.4830000000E+00,+1.708333E-03
-2.4829500000E+00,-1.604167E-03
-2.4829000000E+00,+1.562500E-03
-2.4828500000E+00,+1.666667E-03
-2.4828000000E+00,-2.187500E-03
-2.4827500000E+00,-1.770833E-03
-2.4827000000E+00,+1.520833E-03
-2.4826500000E+00,-1.562500E-03
-2.4826000000E+00,+1.875000E-03
-2.4825500000E+00,+1.479167E-03
-2.4825000000E+00,-1.604167E-03
-2.4824500000E+00,-1.687500E-03
-2.4824000000E+00,+1.479167E-03
-2.4823500000E+00,-1.812500E-03
-2.4823000000E+00,+1.583333E-03
-2.4822500000E+00,+1.395833E-03
-2.4822000000E+00,-1.583333E-03
-2.4821500000E+00,-1.666667E-03
-2.4821000000E+00,+1.666667E-03
-2.4820500000E+00,-1.979167E-03
-2.4820000000E+00,+1.979167E-03
-2.4819500000E+00,+1.833333E-03
-2.4819000000E+00,-1.583333E-03
-2.4818500000E+00,+1.520833E-03
-2.4818000000E+00,-1.791667E-03
-2.4817500000E+00,+1.541667E-03
-2.4817000000E+00,-1.750000E-03
-2.4816500000E+00,-1.916667E-03
-2.4816000000E+00,+1.583333E-03
-2.4815500000E+00,+1.562500E-03
-2.4815000000E+00,-2.062500E-03
-2.4814500000E+00,-1.562500E-03
-2.4814000000E+00,+1.437500E-03
-2.4813500000E+00,+1.354167E-03
-2.4813000000E+00,-1.625000E-03
-2.4812500000E+00,+1.500000E-03
-2.4812000000E+00,-1.666667E-03
-2.4811500000E+00,+1.416667E-03
-2.4811000000E+00,-1.562500E-03
-2.4810500000E+00,+1.354167E-03
-2.4810000000E+00,-1.645833E-03
-2.4809500000E+00,+1.312500E-03
-2.4809000000E+00,-1.812500E-03
-2.4808500000E+00,-1.541667E-03
-2.4808000000E+00,+1.208333E-03
-2.4807500000E+00,+1.729167E-03
-2.4807000000E+00,-1.729167E-03
-2.4806500000E+00,-1.770833E-03
-2.4806000000E+00,+1.437500E-03
-2.4805500000E+00,+1.229167E-03
-2.4805000000E+00,-1.416667E-03
-2.4804500000E+00,+1.333333E-03
-2.4804000000E+00,-1.729167E-03
-2.4803500000E+00,+1.395833E-03
-2.4803000000E+00,-1.416667E-03
-2.4802500000E+00,+1.291667E-03
-2.4802000000E+00,-1.458333E-03
-2.4801500000E+00,-1.625000E-03
-2.4801000000E+00,+1.437500E-03
-2.4800500000E+00,-1.645833E-03
-2.4800000000E+00,+1.250000E-03
-2.4799500000E+00,-1.250000E-03
-2.4799000000E+00,+1.354167E-03
-2.4798500000E+00,+1.395833E-03
-2.4798000000E+00,-1.687500E-03
-2.4797500000E+00,+1.083333E-03
-2.4797000000E+00,-1.791667E-03
-2.4796500000E+00,+1.062500E-03
-2.4796000000E+00,-1.395833E-03
-2.4795500000E+00,-1.437500E-03
-2.4795000000E+00,+1.270833E-03
-2.4794500000E+00,-1.458333E-03
-2.4794000000E+00,+1.229167E-03
-2.4793500000E+00,+1.083333E-03
-2.4793000000E+00,-1.604167E-03
-2.4792500000E+00,-1.375000E-03
-2.4792000000E+00,+1.104167E-03
-2.4791500000E+00,-1.666667E-03
-2.4791000000E+00,+1.500000E-03
-2.4790500000E+00,-1.458333E-03
-2.4790000000E+00,+1.083333E-03
-2.4789500000E+00,+1.020833E-03
-2.4789000000E+00,-1.291667E-03
-2.4788500000E+00,+1.041667E-03
-2.4788000000E+00,-1.250000E-03
-2.4787500000E+00,-1.291667E-03
-2.4787000000E+00,+1.479167E-03
-2.4786500000E+00,+1.041667E-03
-2.4786000000E+00,-1.395833E-03
-2.4785500000E+00,-1.104167E-03
-2.4785000000E+00,+1.000000E-03
-2.4784500000E+00,-1.041667E-03
-2.4784000000E+00,+8.541667E-04
-2.4783500000E+00,-1.250000E-03
-2.4783000000E+00,+1.041667E-03
-2.4782500000E+00,-1.145833E-03
-2.4782000000E+00,+8.958334E-04
-2.4781500000E+00,-1.125000E-03
-2.4781000000E+00,+8.750000E-04
-2.4780500000E+00,+8.541667E-04
-2.4780000000E+00,-1.125000E-03
-2.4779500000E+00,-1.083333E-03
-2.4779000000E+00,+1.145833E-03
-2.4778500000E+00,-1.375000E-03
-2.4778000000E+00,+9.583334E-04
-2.4777500000E+00,-1.604167E-03
-2.4777000000E+00,+1.166667E-03
-2.4776500000E+00,-1.354167E-03
-2.4776000000E+00,+1.229167E-03
-2.4775500000E+00,-1.520833E-03
-2.4775000000E+00,+1.062500E-03
-2.4774500000E+00,-1.479167E-03
-2.4774000000E+00,+1.020833E-03
-2.4773500000E+00,+1.145833E-03
-2.4773000000E+00,-1.562500E-03
-2.4772500000E+00,-1.479167E-03
-2.4772000000E+00,+1.333333E-03
-2.4771500000E+00,+1.229167E-03
-2.4771000000E+00,-1.520833E-03
-2.4770500000E+00,-2.083333E-03
-2.4770000000E+00,+1.270833E-03
-2.4769500000E+00,-1.770833E-03
-2.4769000000E+00,+1.333333E-03
-2.4768500000E+00,-1.812500E-03
-2.4768000000E+00,+1.625000E-03
-2.4767500000E+00,-1.458333E-03
-2.4767000000E+00,+1.666667E-03
-2.4766500000E+00,-1.687500E-03
-2.4766000000E+00,+1.229167E-03
-2.4765500000E+00,+1.666667E-03
-2.4765000000E+00,-1.875000E-03
-2.4764500000E+00,+1.375000E-03
-2.4764000000E+00,-1.750000E-03
-2.4763500000E+00,-1.708333E-03
-2.4763000000E+00,+1.541667E-03
-2.4762500000E+00,+1.708333E-03
-2.4762000000E+00,-2.291667E-03
-2.4761500000E+00,-1.750000E-03
-2.4761000000E+00,+1.437500E-03
-2.4760500000E+00,-1.875000E-03
-2.4760000000E+00,+1.395833E-03
-2.4759500000E+00,-1.895833E-03
-2.4759000000E+00,+1.645833E-03
-2.4758500000E+00,-1.604167E-03
-2.4758000000E+00,+1.500000E-03
-2.4757500000E+00,-1.791667E-03
-2.4757000000E+00,+1.791667E-03
-2.4756500000E+00,-1.729167E-03
-2.4756000000E+00,+1.458333E-03
-2.4755500000E+00,-1.812500E-03
-2.4755000000E+00,+1.250000E-03
-2.4754500000E+00,-1.791667E-03
-2.4754000000E+00,+1.437500E-03
-2.4753500000E+00,-1.625000E-03
