FFT Length,65536
Record Length,32768
FFT Sample Rate,+5.000000E+06,
Delta Frequency,+7.629395E+01,
Start Frequency,+0.000000E+00,
Stop Frequency,+2.500000E+06,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0Q809397
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+5.035400E+03,-2.510341E-07,-1.220925E-06,-1.180864E+02,-1.773580E+00
+5.111694E+03,+3.895620E-07,-1.054288E-06,-1.189850E+02,-1.216854E+00
+5.187988E+03,+4.339846E-07,+1.174494E-06,-1.180471E+02,+1.216850E+00
+5.264282E+03,-5.297659E-07,+5.521962E-07,-1.223242E+02,+2.335466E+00
+5.340576E+03,-4.095824E-08,-1.097598E-06,-1.191851E+02,-1.608095E+00
+5.416870E+03,-5.820183E-07,-1.298247E-07,-1.244904E+02,-2.922126E+00
+5.493164E+03,-1.115879E-08,+1.685274E-06,-1.154664E+02,+1.577417E+00
+5.569458E+03,+1.718016E-06,-1.736988E-06,-1.122412E+02,-7.908894E-01
+5.645752E+03,-1.129604E-06,+7.148757E-07,-1.174786E+02,+2.577365E+00
+5.722046E+03,+6.516973E-07,-5.315768E-07,-1.215041E+02,-6.842294E-01
+5.798340E+03,-5.225766E-07,+1.277062E-07,-1.253851E+02,+2.901912E+00
+5.874634E+03,-9.954631E-07,+7.187978E-07,-1.182171E+02,+2.516205E+00
+5.950928E+03,+1.312212E-06,-1.217219E-06,-1.149437E+02,-7.478607E-01
+6.027222E+03,-3.343352E-07,+1.938893E-06,-1.141217E+02,+1.741553E+00
+6.103516E+03,-8.076358E-07,-1.000360E-06,-1.178173E+02,-2.250000E+00
+6.179810E+03,+1.353284E-06,-3.776858E-07,-1.170465E+02,-2.721631E-01
+6.256104E+03,-6.754216E-07,-3.717379E-07,-1.222593E+02,-2.638458E+00
+6.332397E+03,+7.297011E-07,+1.349861E-06,-1.162809E+02,+1.075218E+00
+6.408691E+03,-7.356502E-07,-9.812175E-07,-1.182276E+02,-2.214126E+00
+6.484985E+03,-2.106777E-08,+6.477777E-07,-1.237669E+02,+1.603308E+00
+6.561279E+03,+1.809801E-07,-1.114016E-06,-1.189490E+02,-1.409746E+00
+6.637573E+03,+1.463250E-06,+1.246737E-06,-1.143233E+02,+7.056733E-01
+6.713867E+03,-2.672834E-06,-1.004134E-06,-1.108872E+02,-2.782225E+00
+6.790161E+03,+8.882476E-08,-4.514602E-07,-1.267427E+02,-1.376528E+00
+6.866455E+03,+1.600588E-06,+2.489475E-06,-1.105753E+02,+9.993988E-01
+6.942749E+03,-3.548421E-07,-2.910546E-06,-1.106564E+02,-1.692114E+00
+7.019043E+03,+1.154887E-06,+2.966571E-06,-1.099421E+02,+1.199548E+00
+7.095337E+03,-2.181077E-06,-3.187589E-06,-1.082629E+02,-2.170867E+00
+7.171631E+03,+1.754484E-06,+1.110959E-06,-1.136528E+02,+5.644822E-01
+7.247925E+03,-1.720147E-06,+2.225245E-06,-1.110179E+02,+2.228865E+00
+7.324219E+03,+1.112688E-06,-2.292180E-06,-1.118761E+02,-1.118874E+00
+7.400513E+03,-8.774089E-07,-2.636741E-07,-1.207605E+02,-2.849664E+00
+7.476807E+03,+7.209586E-07,+9.079959E-07,-1.187152E+02,+8.997179E-01
+7.553101E+03,-5.049508E-07,+8.237741E-07,-1.202985E+02,+2.120700E+00
+7.629395E+03,+6.517080E-07,-1.707108E-06,-1.147639E+02,-1.206111E+00
+7.705688E+03,-5.864968E-07,+1.408516E-06,-1.163304E+02,+1.965354E+00
+7.781982E+03,+4.721639E-07,-2.111611E-06,-1.132958E+02,-1.350811E+00
+7.858276E+03,+7.920370E-07,+1.956224E-06,-1.135124E+02,+1.186090E+00
+7.934570E+03,-2.122533E-06,-1.061070E-06,-1.124941E+02,-2.678019E+00
+8.010864E+03,+1.910022E-06,+6.649777E-07,-1.138824E+02,+3.350274E-01
+8.087158E+03,-1.600579E-06,+3.652332E-07,-1.156940E+02,+2.917246E+00
+8.163452E+03,+1.598582E-06,-2.119874E-07,-1.158496E+02,-1.318405E-01
+8.239746E+03,-1.531935E-06,-2.666030E-08,-1.162939E+02,-3.124191E+00
+8.316040E+03,+1.564718E-06,-1.035264E-06,-1.145344E+02,-5.845075E-01
+8.392334E+03,-1.185919E-06,+1.119463E-06,-1.157518E+02,+2.385013E+00
+8.468628E+03,+3.027776E-07,-6.195288E-07,-1.232286E+02,-1.116211E+00
+8.544922E+03,-8.669342E-07,+6.730988E-07,-1.191914E+02,+2.481400E+00
+8.621216E+03,+1.619637E-06,-1.197373E-06,-1.139180E+02,-6.366079E-01
+8.697510E+03,+3.807016E-08,+7.389625E-07,-1.226160E+02,+1.519323E+00
+8.773804E+03,-2.208326E-07,+4.359169E-07,-1.262198E+02,+2.039705E+00
+8.850098E+03,-1.178700E-06,-5.756010E-07,-1.176431E+02,-2.687320E+00
+8.926392E+03,+5.904930E-07,+1.708555E-06,-1.148574E+02,+1.238038E+00
+9.002686E+03,+3.116629E-07,-2.595017E-06,-1.116550E+02,-1.451268E+00
